1;dsds;N
2;dsdfgfgf;N
3;[u'dsds', u'dsdsd', u'dsdsd', u'sdsd', u'sdsd', u'hghghg', u'ghghgkjk'];N
4;dsds;N
5;dsdsd;N
6;sdsd;N
7;hghghg;N
8;ghghgkjk;N
9;ghghgkjk;N
10;dsds;N
11;ghghgkjk;N
12;ghghgkjk;N
13;апапапа;N
14;папапа;N
15;папа;N
16;рпрпр;N
17;пьтьт;N
18;hgvbvbv;N
19;vcvcvc;N
20;bvvvb;N
21;ghgh;N
22;lklk;N
23;sasa;N
24;saasaaas;N
25;әуежай;N
26;әмбебап;N
27;дүкен;N
28;Для;N
29;подключения;N
30;БД;N
31;./mqsisetdbparms;N
32;NODE1;N
33;-n;N
34;jdbc::DB2jdbc_security;N
35;-u;N
36;db2inst2;N
37;-p;N
38;harley;N
39;WIH_BROKER;N
40;db2i1own;N
41;P@ssw0rd;N
42;AD;N
43;ldap::myldap.com;N
44;CN=admin,DC=test,DC=com;N
45;db2;N
46;catalog;N
47;tcpip;N
48;node;N
49;MAIN;N
50;remote;N
51;192.168.251.10;N
52;server;N
53;50000;N
54;database;N
55;IOCDATA;N
56;as;N
57;IOCMAIN;N
58;at;N
59;SSL;N
60;./mqsichangeproperties;N
61;-o;N
62;BrokerRegistry;N
63;brokerKeystoreFile;N
64;-v;N
65;/opt/IBM/iib-10.0.0.3/common/jdk/jre/bin/Node1Keystore.jks;N
66;brokerTruststoreFile;N
67;./mqsistop;N
68;brokerKeystore::password;N
69;ignore;N
70;pass@2018;N
71;brokerTruststore::password;N
72;./mqsistart;N
73;-b;N
74;httplistener;N
75;кооперация;N
76;в;N
77;сельском;N
78;зарубежный;N
79;опыт;N
80;и;N
81;становление;N
82;казахстане;N
83;введение;N
84;агропромышленный;N
85;комплекс;N
86;крупный;N
87;сектор;N
88;народного;N
89;хозяйства;N
90;республики;N
91;от;N
92;состояния;N
93;которого;N
94;во;N
95;многом;N
96;зависит;N
97;экономическая;N
98;социальная;N
99;ситуация;N
100;на;I
101;селе;N
102;ныне;N
103;kkqqqqmmmmmmmmmq;n
104;wwwwwwwvvvvvvvvvvv;n
105;kkqrrwwewewewewewq;n   dat
106;wwwnnnnnnnnn;adj   nom
107;nnnnnnnnnnm;v tv  
108;mmmm;prn  dem nom
109;kkwewewewewq;n gen
110;wwwnnnnn;prn pers dat
111;nnnnm;v tv
